Country,Region/State,Zip/Postal Code,Weight (and above),Shipping Price
THA,*,10560,30.01,165
THA,*,10560,40.01,210
THA,*,10600,0,50
THA,*,10600,2.51,70
THA,*,10600,5.01,100
THA,*,10600,10.01,130
THA,*,10600,20.01,140
THA,*,10600,30.01,165
THA,*,10600,40.01,210
THA,*,10700,0,50
THA,*,10700,2.51,70
THA,*,10700,5.01,100
THA,*,10700,10.01,130
THA,*,10700,20.01,140
THA,*,10700,30.01,165
THA,*,10700,40.01,210
THA,*,10800,0,50
THA,*,10800,2.51,70
THA,*,10800,5.01,100
THA,*,10800,10.01,130
THA,*,10800,20.01,140
THA,*,10800,30.01,165
THA,*,10800,40.01,210
THA,*,10900,0,50
THA,*,10900,2.51,70
THA,*,10900,5.01,100
THA,*,10900,10.01,130
THA,*,10900,20.01,140
THA,*,10900,30.01,165
THA,*,10900,40.01,210
THA,*,11000,0,50
THA,*,11000,2.51,70
THA,*,11000,5.01,100
THA,*,11000,10.01,130
THA,*,11000,20.01,140
THA,*,11000,30.01,165
THA,*,11000,40.01,210
THA,*,11110,0,50
THA,*,11110,2.51,70
THA,*,11110,5.01,100
THA,*,11110,10.01,130
THA,*,11110,20.01,140
THA,*,11110,30.01,165
THA,*,11110,40.01,210
THA,*,11120,0,50
THA,*,11120,2.51,70
THA,*,11120,5.01,100
THA,*,11120,10.01,130
THA,*,11120,20.01,140
THA,*,11120,30.01,165
THA,*,11120,40.01,210
THA,*,11130,0,50
THA,*,11130,2.51,70
THA,*,11130,5.01,100
THA,*,11130,10.01,130
THA,*,11130,20.01,140
THA,*,11130,30.01,165
THA,*,11130,40.01,210
THA,*,11140,0,50
THA,*,11140,2.51,70
THA,*,11140,5.01,100
THA,*,11140,10.01,130
THA,*,11140,20.01,140
THA,*,11140,30.01,165
THA,*,11140,40.01,210
THA,*,11150,0,50
THA,*,11150,2.51,70
THA,*,11150,5.01,100
THA,*,11150,10.01,130
THA,*,11150,20.01,140
THA,*,11150,30.01,165
THA,*,11150,40.01,210
THA,*,12000,0,50
THA,*,12000,2.51,70
THA,*,12000,5.01,100
THA,*,12000,10.01,130
THA,*,12000,20.01,140
THA,*,12000,30.01,165
THA,*,12000,40.01,210
THA,*,12110,0,50
THA,*,12110,2.51,70
THA,*,12110,5.01,100
THA,*,12110,10.01,130
THA,*,12110,20.01,140
THA,*,12110,30.01,165
THA,*,12110,40.01,210
THA,*,12120,0,50
THA,*,12120,2.51,70
THA,*,12120,5.01,100
THA,*,12120,10.01,130
THA,*,12120,20.01,140
THA,*,12120,30.01,165
THA,*,12120,40.01,210
THA,*,12121,0,50
THA,*,12121,2.51,70
THA,*,12121,5.01,100
THA,*,12121,10.01,130
THA,*,12121,20.01,140
THA,*,12121,30.01,165
THA,*,12121,40.01,210
THA,*,12130,0,50
THA,*,12130,2.51,70
THA,*,12130,5.01,100
THA,*,12130,10.01,130
THA,*,12130,20.01,140
THA,*,12130,30.01,165
THA,*,12130,40.01,210
THA,*,12140,0,50
THA,*,12140,2.51,70
THA,*,12140,5.01,100
THA,*,12140,10.01,130
THA,*,12140,20.01,140
THA,*,12140,30.01,165
THA,*,12140,40.01,210
THA,*,12150,0,50
THA,*,12150,2.51,70
THA,*,12150,5.01,100
THA,*,12150,10.01,130
THA,*,12150,20.01,140
THA,*,12150,30.01,165
THA,*,12150,40.01,210
THA,*,12160,0,50
THA,*,12160,2.51,70
THA,*,12160,5.01,100
THA,*,12160,10.01,130
THA,*,12160,20.01,140
THA,*,12160,30.01,165
THA,*,12160,40.01,210
THA,*,12170,0,50
THA,*,12170,2.51,70
THA,*,12170,5.01,100
THA,*,12170,10.01,130
THA,*,12170,20.01,140
THA,*,12170,30.01,165
THA,*,12170,40.01,210
THA,*,13000,0,50
THA,*,13000,2.51,70
THA,*,13000,5.01,110
THA,*,13000,10.01,150
THA,*,13000,20.01,190
THA,*,13000,30.01,210
THA,*,13000,40.01,240
THA,*,13110,0,50
THA,*,13110,2.51,70
THA,*,13110,5.01,110
THA,*,13110,10.01,150
THA,*,13110,20.01,190
THA,*,13110,30.01,210
THA,*,13110,40.01,240
THA,*,13120,0,50
THA,*,13120,2.51,70
THA,*,13120,5.01,110
THA,*,13120,10.01,150
THA,*,13120,20.01,190
THA,*,13120,30.01,210
THA,*,13120,40.01,240
THA,*,13130,0,75
THA,*,13130,2.51,95
THA,*,13130,5.01,145
THA,*,13130,10.01,185
THA,*,13130,20.01,240
THA,*,13130,30.01,260
THA,*,13130,40.01,290
THA,*,13140,0,50
THA,*,13140,2.51,70
THA,*,13140,5.01,110
THA,*,13140,10.01,150
THA,*,13140,20.01,190
THA,*,13140,30.01,210
THA,*,13140,40.01,240
THA,*,13150,0,50
THA,*,13150,2.51,70
THA,*,13150,5.01,110
THA,*,13150,10.01,150
THA,*,13150,20.01,190
THA,*,13150,30.01,210
THA,*,13150,40.01,240
THA,*,13160,0,50
THA,*,13160,2.51,70
THA,*,13160,5.01,110
THA,*,13160,10.01,150
THA,*,13160,20.01,190
THA,*,13160,30.01,210
THA,*,13160,40.01,240
THA,*,13170,0,50
THA,*,13170,2.51,70
THA,*,13170,5.01,110
THA,*,13170,10.01,150
THA,*,13170,20.01,190
THA,*,13170,30.01,210
THA,*,13170,40.01,240
THA,*,13180,0,75
THA,*,13180,2.51,95
THA,*,13180,5.01,145
THA,*,13180,10.01,185
THA,*,13180,20.01,240
THA,*,13180,30.01,260
THA,*,13180,40.01,290
THA,*,13190,0,75
THA,*,13190,2.51,95
THA,*,13190,5.01,145
THA,*,13190,10.01,185
THA,*,13190,20.01,240
THA,*,13190,30.01,260
THA,*,13190,40.01,290
THA,*,13210,0,75
THA,*,13210,2.51,95
THA,*,13210,5.01,145
THA,*,13210,10.01,185
THA,*,13210,20.01,240
THA,*,13210,30.01,260
THA,*,13210,40.01,290
THA,*,13220,0,50
THA,*,13220,2.51,70
THA,*,13220,5.01,110
THA,*,13220,10.01,150
THA,*,13220,20.01,190
THA,*,13220,30.01,210
THA,*,13220,40.01,240
THA,*,13230,0,75
THA,*,13230,2.51,95
THA,*,13230,5.01,145
THA,*,13230,10.01,185
THA,*,13230,20.01,240
THA,*,13230,30.01,260
THA,*,13230,40.01,290
THA,*,13240,0,75
THA,*,13240,2.51,95
THA,*,13240,5.01,145
THA,*,13240,10.01,185
THA,*,13240,20.01,240
THA,*,13240,30.01,260
THA,*,13240,40.01,290
THA,*,13250,0,50
THA,*,13250,2.51,70
THA,*,13250,5.01,110
THA,*,13250,10.01,150
